is_miner,address,minimum_monthly_output,maximum_monthly_output,minimum_monthly_input,maximum_monthly_input,input_output_max_lag,input_output_min_lag,output_active_months,total_out_tx_count,total_out_tx_value,mean_tx_output_value,stddev_tx_output_value,input_active_months,total_tx_input_count,total_tx_input_value,mean_tx_input_value,stddev_tx_input_value,total_input_tx,mean_monthly_input_value,mean_output_idle_time,stddev_output_idle_time,mean_input_idle_time,stddev_input_idle_time
true,1Kk7qPuXBrPec6gMVG3Kb5LSdNy1sTxug4,1385856000,1396310400,1396310400,1409529600,-13219200,-10454400,5,45,207314621,4606991.57777778,849391.080770553,4,45,207314621,4606991.57777778,849391.080770553,6,4606991.57777778,229095,146304.264298755,2263600.4,2075392.48321403
true,17xetsNGyrozA6JxjBQMbR8un6gzCQgtkm,1401580800,1483228800,1404172800,1506816000,-23587200,-2592000,30,189,4598184539,24329018.7248677,33340739.3289166,19,188,4598174539,24458375.2074468,33382178.5139696,36,24458375.2074468,424923.973404256,635205.968980498,2932127.45714286,5878765.0758956
true,1EZEkwp8ZCixQkrU191vFkHmGPozvTNcBZ,1364774400,1448928000,1367366400,1480550400,-31622400,-2592000,20,85,837395609,9851713.04705882,22536431.8431985,15,85,837395609,9851713.04705882,22536431.8431985,31,9851713.04705882,988878.916666667,2938954.45058795,3796069.4,8509952.25220054
true,1DGVnT66ZXEQbZoUUKwvA7PQN5ey5HUNUe,1409529600,1459468800,1409529600,1454284800,5184000,0,15,99,1001292343,10114064.0707071,11384948.1276133,11,96,995147384,10366118.5833333,11459895.3318121,48,10366118.5833333,525554.142857143,1402527.78372851,967131,2313942.59812123
true,1MKwP8gJcWoWmSw7K2yZka9jWiEtFaqxYE,1383264000,1412121600,1383264000,1506816000,-94694400,0,5,73,729526121,9993508.50684932,7346679.91026009,2,73,729526121,9993508.50684932,7346679.91026008,6,9993508.50684932,391780.211267606,1862629.93073536,24653786.8,54485562.1430581
true,1L1AWEZzRzHww4DEQMVobgyAdtYYiMoE9k,1401580800,1456790400,1435708800,1496275200,-39484800,-34128000,22,131,335471622,2560852.07633588,1208785.04385347,3,131,335471622,2560852.07633588,1208785.04385347,3,2560852.07633588,431590.138461538,225172.703025569,30019789.5,24361300.1010882
true,15RvcuWCHrBSNjZjmc7L2vHGFrJxY24Fqx,1391212800,1491004800,1420070400,1504224000,-13219200,-28857600,29,141,955011253,6773129.45390071,5271243.44145511,2,141,955011253,6773129.45390071,5271243.44145511,2,6773129.45390071,730231.144927536,2232074.27042132,83995936,
true,12p32BammVB3k3jFb6RHga3sJE6zuBUDTu,1406851200,1496275200,1435708800,1496275200,0,-28857600,21,104,1221813779,11748209.4134615,5820381.82426339,10,104,1221813779,11748209.4134615,5820381.82426339,21,11748209.4134615,865264.941747573,2438042.62710358,3065006.55,4705588.80540218
true,1C8qRSmrzdy6rYFTxJnmgSoQJfFUADCZd8,1335830400,1362096000,1335830400,1362096000,0,0,11,221,33806628287,152971168.719457,105635702.400459,11,221,33806628287,152971168.719457,105635702.400459,59,152971168.719457,115793,82699.886001865,471324.236363637,432314.268385728
true,1JL3CWxfK6VFVeVEcx4FfP3qmTsspDxyKL,1393632000,1414800000,1393632000,1414800000,0,0,9,65,461829504,7105069.29230769,4620106.78887883,9,65,461829504,7105069.29230769,4620106.78887883,65,7105069.29230769,346892.296875,198401.333567401,347780.78125,205599.510003312
